id,value
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Cytogenetics,H01.158.273.343.180
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genetic Research,H01.158.273.343.249
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genetic Research.Gene Ontology,H01.158.273.343.249.099
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genetic Research.HapMap Project,H01.158.273.343.249.199
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genetic Research.Human Genome Project,H01.158.273.343.249.400
"Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genetics, Behavioral",H01.158.273.343.290
"Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genetics, Microbial",H01.158.273.343.330
"Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genetics, Population",H01.158.273.343.335
"Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genetics, Population.Phylogeography",H01.158.273.343.335.500
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genomics,H01.158.273.343.350
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genomics.Epigenomics,H01.158.273.343.350.042
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genomics.Glycomics,H01.158.273.343.350.086
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genomics.HapMap Project,H01.158.273.343.350.130
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genomics.Human Genome Project,H01.158.273.343.350.174
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genomics.Metagenomics,H01.158.273.343.350.261
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genomics.Nutrigenomics,H01.158.273.343.350.349
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genomics.Proteomics,H01.158.273.343.350.700
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Genomics.Proteomics.Proteogenomics,H01.158.273.343.350.700.500
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Human Genetics,H01.158.273.343.385
"Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Human Genetics.Genetics, Medical",H01.158.273.343.385.500
"Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Human Genetics.Genetics, Medical.Genetic Counseling",H01.158.273.343.385.500.384
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Human Genetics.HapMap Project,H01.158.273.343.385.750
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Human Genetics.Human Genome Project,H01.158.273.343.385.875
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Immunogenetics,H01.158.273.343.420
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Molecular Biology,H01.158.273.343.595
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Molecular Biology.Molecular Medicine,H01.158.273.343.595.475
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Molecular Biology.Molecular Medicine.Molecular Epidemiology,H01.158.273.343.595.475.500
"Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Molecular Biology.Molecular Medicine.Pathology, Molecular",H01.158.273.343.595.475.750
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Pharmacogenetics,H01.158.273.343.750
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Radiation Genetics,H01.158.273.343.800
Natural Science Disciplines.Biological Science Disciplines.Biology.Genetics.Toxicogenetics,H01.158.273.343.900
Natural Science Disciplines.Biological Science Disciplines.Biology.Laboratory Animal Science,H01.158.273.368
Natural Science Disciplines.Biological Science Disciplines.Biology.Microbiology,H01.158.273.540
Natural Science Disciplines.Biological Science Disciplines.Biology.Microbiology.Bacteriology,H01.158.273.540.177
Natural Science Disciplines.Biological Science Disciplines.Biology.Microbiology.Environmental Microbiology,H01.158.273.540.274
Natural Science Disciplines.Biological Science Disciplines.Biology.Microbiology.Environmental Microbiology.Air Microbiology,H01.158.273.540.274.110
Natural Science Disciplines.Biological Science Disciplines.Biology.Microbiology.Environmental Microbiology.Food Microbiology,H01.158.273.540.274.332
Natural Science Disciplines.Biological Science Disciplines.Biology.Microbiology.Environmental Microbiology.Soil Microbiology,H01.158.273.540.274.555
Natural Science Disciplines.Biological Science Disciplines.Biology.Microbiology.Environmental Microbiology.Water Microbiology,H01.158.273.540.274.777
"Natural Science Disciplines.Biological Science Disciplines.Biology.Microbiology.Genetics, Microbial",H01.158.273.540.367
